▶️┃IPV4央视,#genre#


CCTV1,http://221.213.70.18:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://221.213.70.18:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://221.213.70.18:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://221.213.70.18:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://221.213.70.18:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://221.213.70.18:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://221.213.70.18:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://221.213.70.18:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://221.213.70.18:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://221.213.70.18:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://221.213.70.18:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://221.213.70.18:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://221.213.70.18:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://221.213.70.18:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://221.213.70.18:9901/tsfile/live/0015_1.m3u8?key=txiptv

CCTV1,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv1
CCTV2,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv2
CCTV3,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv3
CCTV4,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv4
CCTV5,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv5
CCTV6,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv6
CCTV7,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv7
CCTV8,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv8
CCTV9,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv9
CCTV10,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv10
CCTV11,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv11
CCTV12,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv12
CCTV13,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv13
CCTV14,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv14
CCTV15,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv15
CCTV17,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv17
CCTV4欧洲,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv4kouzhou
CCTV4美洲,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv4meizhou
CCTV老故事,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctvlgs
CCTV9Documentary,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv9documentary
CCTV发现之旅,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctvfxzl
CCTV中学生,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctvzxs
