央视,#genre#
CCTV1,http://113.24.136.66:8082/udp/239.1.1.7:8007
CCTV2,http://113.24.136.66:8082/udp/239.1.1.8:8008
CCTV3,http://113.24.136.66:8082/udp/239.1.1.9:8009
CCTV4,http://113.24.136.66:8082/udp/239.1.1.10:8010
CCTV5,http://113.24.136.66:8082/udp/239.1.1.11:8011
CCTV5,http://113.24.136.66:8082/udp/239.1.1.12:8012
CCTV6,http://113.24.136.66:8082/udp/239.1.1.13:8013
CCTV7,http://113.24.136.66:8082/udp/239.1.1.14:8014
CCTV8,http://113.24.136.66:8082/udp/239.1.1.15:8015
CCTV9,http://113.24.136.66:8082/udp/239.1.1.16:8016
CCTV10,http://113.24.136.66:8082/udp/239.1.1.17:8017
CCTV11,http://113.24.136.66:8082/udp/239.1.1.18:8018
CCTV12,http://113.24.136.66:8082/udp/239.1.1.19:8019
CCTV13,http://113.24.136.66:8082/udp/239.1.1.20:8020
CCTV14,http://113.24.136.66:8082/udp/239.1.1.21:8021
CCTV15,http://113.24.136.66:8082/udp/239.1.1.22:8022
CCTV16,http://113.24.136.66:8082/udp/239.1.1.122:8122
CCTV17,http://113.24.136.66:8082/udp/239.1.1.23:8023
CCTV女性时尚,http://113.24.136.66:8082/udp/239.1.1.89:8089
CCTV电视指南,http://113.24.136.66:8082/udp/239.1.1.90:8090
CCTV央视文化精品,http://113.24.136.66:8082/udp/239.1.1.91:8091
CCTV风云剧场,http://113.24.136.66:8082/udp/239.1.1.93:8093
CCTV第一剧场,http://113.24.136.66:8082/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://113.24.136.66:8082/udp/239.1.1.95:8095
CCTV风云音乐高请,http://113.24.136.66:8082/udp/239.1.1.96:8096
CCTV兵器科技,http://113.24.136.66:8082/udp/239.1.1.97:8097
CCTV世界地理,http://113.24.136.66:8082/udp/239.1.1.99:8099
CCTV央视台球,http://113.24.136.66:8082/udp/239.1.1.100:8100
CCTV风云足球,http://113.24.136.66:8082/udp/239.1.1.101:8101
CCTV高尔夫网球,http://113.24.136.66:8082/udp/239.1.1.102:8102

CCTV1,http://1.180.245.195:9901/tsfile/live/0001_1.m3u8
CCTV2,http://1.180.245.195:9901/tsfile/live/0002_1.m3u8
CCTV3,http://1.180.245.195:9901/tsfile/live/0003_1.m3u8
CCTV4,http://1.180.245.195:9901/tsfile/live/0004_1.m3u8
CCTV5,http://1.180.245.195:9901/tsfile/live/0005_1.m3u8
CCTV6,http://1.180.245.195:9901/tsfile/live/0006_1.m3u8
CCTV7,http://1.180.245.195:9901/tsfile/live/0007_1.m3u8
CCTV8,http://1.180.245.195:9901/tsfile/live/0008_1.m3u8
CCTV9,http://1.180.245.195:9901/tsfile/live/0009_1.m3u8
CCTV10,http://1.180.245.195:9901/tsfile/live/0010_1.m3u8
CCTV12,http://1.180.245.195:9901/tsfile/live/0012_1.m3u8
CCTV13,http://1.180.245.195:9901/tsfile/live/0013_1.m3u8
CCTV14,http://1.180.245.195:9901/tsfile/live/0014_1.m3u8
CCTV15,http://1.180.245.195:9901/tsfile/live/0015_1.m3u8
